Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GET USERS,700,276,161,442,461,1282,111,1638,"0,000%",",24775","0,53","0,03"
POST,100,405,428,455,461,520,281,544,"0,000%","11,62250","12,36","2,69"
DELETE,100,399,426,441,454,489,279,502,"0,000%","11,64280","11,30","2,36"
POST USERS,600,383,422,442,453,531,281,564,"0,000%",",22302","0,24","0,05"
DELETE USERS,600,379,421,437,446,498,276,528,"0,000%",",22304","0,22","0,05"
TOTAL,2100,348,419,442,454,560,111,1638,"0,000%",",74311","1,03","0,14"
